line id,original language,translation
,"Ziyarat of
Imam Jaffer al Sadiq (AS)",
,اَلسَّلَامُ عَلَيْكَ يا اِمامَ الْوَرَى ,"Peace Be On You, O Imam Of The World! "
,اَلسَّلَامُ عَلَيْكَ اَيُّهَا الُرْوَةُ الوُثْقى,Peace Be On You O Secure And Lasting Link Of Allah! 
,اَلسَّلَامُ عَلَيْكَ يا حَبْلَ اللهِ المَتِيْنِ,"Peace Be On You, O Strong Rope Of  Allah! "
,اَلسَّلَامُ عَلَيْكَ يا نُوْرَ اللهِ المُبِينِ,"Peace Be On You, O The Bright Light Of Allah! "
,اَلسَّلَامُ عَلَيْكَ اَيُّهَا الصَّادِقُ,"Peace Be On You, O The Truthful"
, جَعْفَرُ اَبْنُ مُحَمَّدٍ خازِنُ العِلْمِ اَلداعِي,"Ja’Far Son Of Mohammad, Treasurer Of Allah’S Knowledge,"
, اِلَى اللهِ بالْحَقِّ,O True Inviter Of People Towards Allah! 
,اللّهُمَ كَمْا جَعَلْتَهُ مَعْدَنَ كَلامِكَ وَ وَحْيِكَ وَ خَازِنَ عِلْمِكَ,"O Allah! In The Same Way As You Have Made Him The Mine Of Your Words And Of Your Messages And The Treasurer Of Your Knowledge, "
,وَ لِسانَ تَوْحِيدِكَ وَ وَليَّ أمْرِكَ,"And Give Him The Language Of Your Oneness, The Ownership Of Your Realm "
," وَ مُسْتَحْفِظَ دِيْنِكَ, وَ صلِ عَلْيِهِ أفْضَلَ","And The Protectorship Of Your Religion, Send The Choicest Of Blessings On Him- "
,ما صَلَّيْتَ عَلْى أحَدٍ مِنْ أصْفْيائِكَ,The Same Blessings Bestowed By You On Your Regents And Successors.
,وَ حُجَجِكَ إنَّكَ حَمِيْدٌ مَجيد,"Surely, You Are Worthy Of Praise And Your Are Revered!"
