line id,original language,translation
,Ziyarat Makhsus,
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, 
the All-merciful, the All-compassionate"
,اَلسَّلامُ عَلَيكُما يا قرّةَ عين رسول اللَّه،,Peace be with you both O you who are the delight of the eyes of the Messenger of God
, اَلسَّلامُ عَلَيكُما يا فلذتى كبد ابن عم رسول اللَّه،,Peace be with you both O who are a part of the liver of the son of the uncle of the Messenger of God
, اَلسَّلامُ عَلَيكُما يا ناصرى سبط رسول اللَّه،,Peace be with you both O helpers of the grandson of the Messenger of God
, اَلسَّلامُ عَلَيكُما أيها السابقان فى الشهادة من ذى رَحِم رسول اللَّه،,Peace be with you both O you who preceded in the martyrdom from the offspring of the Messenger of God
, اَلسَّلامُ عَلَيكُما أيها الشهيدان فى نصرة دين اللَّه،,Peace be upon you O martyrs in supporting the religion of God.
, اَلسَّلامُ عَلَيكُما أيها المظلومان القتيلان بأرض كربلاء،,Peace be with you both O you who were opposed and wrongly killed in the land of Karbala
, اَلسَّلامُ عَلَيكُما أيها المظلومان القتيلان بأيدى الأشقياء,Peace be with you both O you who were wronged by the hands of the wretched
, اَلسَّلامُ عَلَيكُما أيها المخلفان من مسلم ابن عقيل القتيل،,Peace be with you both O you who are the offspring of the slain Muslim ibn Aqeel
, اَلسَّلامُ عَلَيكُما أيها الذبيحان من نسل إسماعيل،,Peace be with you both O you who were sacrificed from the progeny of Isma’il
, اَلسَّلامُ عَلَيكُما أيها الحيان المرزوقان عند ربكما الجليل،,Peace be with you both O you who are alive and sustained with your majestic Lord
, اشهد إنكما جاهدتما فى نصرة دين اللَّه,I bear witness that you indeed strived in the best manner to aid the religion of God
, و حماية عترة رسول اللَّه حق الجهاد،,And to defend the family of the Messenger of God
, فجز أكما اللَّه عن نبيه وأهل البيت و عن الإسلام و أهله،,"Therefore, may God reward you from Himself on behalf of His Prophet,  His Family, and on behalf of Islam and its people,"
, أفضل جزاء الشهداء،,The best rewards for the martyrs.
,اَلسَّلامُ عَلَيكُما يا محمد و يا ابراهيم ولدى مسلم ابن عقيل ابن أبى طالب‏عليه السلام,"Peace be upon you O Muhammad and O Ibrahim, the two children of Muslim ibn Aqil ibn Abi Talib, peace be upon him,"
, و رحمة اللَّه و بركاته,and God's mercy and blessings be with you both.
