line id,original language,translation
,اَلسَّلاَمُ عَلَيْكِ يَا اُمَّ الْاَئِمَّةِ الطَّاهِرِيْنَ,"Peace on you, O the mother of the pure Imams, "
,اَلسَّلاَمُ عَلَيْكِ يَا اُمَّ المُؤْمِنِيْنَ,"Peace be on you, O the mother of the believing men"
,اَلسَّلاَمُ عَلَيْكِ يَا اُمَّ الْمُؤْمِنَاتِ,"Peace be on you, O the first of the believing women"
,السَّلاَمُ عَلَيْكِ يَا خَالِصَةَ الْمُخْلِصَاتِ,"Peace be on you, O the sincere lady among the devoted ones"
,اَلسَّلاَمُ عَلَيْكِ يَا سَيِّدَةَ الْحَرَمِ وَ مَلِكَةَ الْبَطْحَاءِ,"Peace be on you, O the chief lady of the sacrosanct (haram) And the queen of Mecca"
,السَّلاَم عَلَيْكِ يَا اَوَّلَ مَنْ صَدَّقَتْ ِرَسُوْلِ اللهِ مِنَ النِّسَآءِ,"Peace be on you, O the first one to believe in the Apostle of Allah from among the women"
,السَّلاَمُ عَلَيْكِ يَا مَنْ وَفَتْ بِالْعُبُوْدِيَّةِ حَقَّ الْوَفَاءِ وَ اَسْلَمَتْ نَفْسَهَا وَ اَنْفَقَتْ مَالَهَا لِسَيِّدِ الْاَنْبِيَآءِ,"Peace be on you, O the one who observed servitude as it ought to be observed, submitted herself and discharged her wealth in the service of the chief of the Prophets."
,اَلسَّلاَمُ عَلَيْكِ يَا قَرِيْنَةَ حَبِيْبِ اِلٰهِ السَّمَآءِ الْمُزَّوَّجَةِ بِخُلاَصَةِ الْاَصْفِيَآءِ يَابْنَةَ اِبْرَاهِيْمَ الْخَلِيْلِ,"Peace be on you, O the companion of the beloved of the Lord of the Heaven. The spouse of the epitome of the chosen ones. O the daughter of Ibraheem, the friend (of Allah)"
,اَلسَّلاَمُ عَلَيْكِ يَا مَنْ سَلَّمَ عَلَيْهَا جَبْرَئِيْلُ وَ بَلَّغَ اِلَيْهَا,"Peace be on you, O the one to whom Jibraeel used to salute and used to convey to her"
,السَّلاَمَ مِنَ اللهِ الْجَلِيْلِ,"the salutations from Allah, the Majestic."
,اَلسَّلاَمُ عَلَيْكِ يَا حَافِظَةَ دِيْنِ اللهِ,"Peace be on you, O the protector of the religion of Allah."
,اَلسَّلاَمُ عَلَيْكِ يَا نَاصِرَةَ رَسُوْلِ اللهِ,"Peace be on you, O the helper of the Apostle of Allah."
,اَلسَّلاَمُ عَلَيْكِ يَا مَنْ تَوَلىَّ دَفْنَهَا رَسُوْلُ اللهِ,"Peace be on you, O the one whose burial was arranged by the Apostle of Allah"
,وَ اَسْتَوْدَعَهَا اِلٰى رَحْمَةِ اللهِ,and he entrusted her to the Mercy of Allah.
,اَشْهَدُ اَنَّكِ حَبِيْبَةُ اللهِ وَ خِيَرَةَ اُمَّتِهِ وَ اَنَّ اللهَ,I bear witness that you are esteemed near Allah
,جَعَلَكِ فِىْ مُسْتَقَرِّ رَحْمَتِهِ فِىْ قَصْرٍ مِّنَ الْيَاقُوْتِ,and the chosen one among His nation and that Allah has placed you in His Mercy
,وَ الْعِقْيَانِ فِىْ اَعْلٰى مَنَازِلِ الْجِنَانِ صَلَّى اللهُ عَلَيْكِ وَ رَحْمَةُ الله وَ بَرَكَاتُهُ,"in a place built of ruby and in the highest grades of Paradise, May Allah send salutations upon you and His Mercy and Blessings ."
