line id,original language,translation
,"ZIYARAT OF 
SYEDA FATIMA ZEHRA (SA)",
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,السَّلاَمُ عَلَيْكِ يَا سَيِّدَةَ نِسَاءِ ٱلْعَالَمِينَ,"Peace be upon you, O doyenne of the women of the world!"
,السَّلاَمُ عَلَيْكِ يَا وَالِدَةَ ٱلْحُجَجِ عَلَىٰ ٱلنَّاسِ اَجْمَعِينَ,"Peace be upon you, O mother of the Arguments on all people!"
,السَّلاَمُ عَلَيْكِ اَيّتُهَا ٱلْمَظْلُومَةُ ٱلْمَمْنُوعَةُ حَقَّهَا,"Peace be upon you, O wronged one whose right was usurped."
,اَللَّهُمَّ صَلِّ عَلَىٰ اَمَتِكَ,"O Allah, send blessings to Your lady servant,"
,وَٱبْنَةِ نَبِيِّكَ وَزَوجَةِ وَصِيِّ نَبِيِّكَ,"the daughter of Your Prophet, the wife of the Successor of Your Prophet—"
,صَلاَةً تُزْلِفُهَا فَوْقَ زُلْفَىٰ عِبَادِكَ ٱلْمُكَرَّمِينَ,such remarkable blessings that approach her nearer to You than the steps of Your honored servants
,مِنْ اَهْلِ ٱلسَّمَاوَاتِ وَاَهْلِ ٱلاَرَضِينَ,among the inhabitants of the heavens and the earth.
