line id,original language,translation
,Ilahi Babima Redashte Balaa Jo Bimar ho Jald Paawe Shifa,O my Lord grant us protection from Calamities and those who are unwell grant them recovery. 
,"Ilahi Baraae Imame Zamaan, 
Hame Hawle Mahshar se de tu Amaan","O Lord by the sake of Imam Zamaan, grant us protection on the day of Judgement"
,"Qayamat me Mashoor raho Baa Ali, Uthe Kabr se Kehke hum Ya Ali","We pray to be with Imam Ali (AS) on the day of Judgement, and when we come out of our graves, we come out saying Ya Ali."
,"Ai Pancha Wa Naw Mil Chahardahatan, Ahmad Wa Ali, Zahra Wa Hassan","O the five Panjatan and the nine Imams making Fourteen Masumeen(AS), Ahmad, Ali, Zahra and Hassan"
,"Shabbir se le ta Imam Zamaan. Eka ek pe sada. Salawat paro, Salaawat","From Shabbir to Imam Zaman(AF), blessings on each one of you and Recite Salawat on them."
,"Salawaat o Salaam Ya Imame Zamaan, Farmao Zuhur Ya Imam Zamaan, Salawaat","Salawat and Salaam, O Imam e Zaman, please reappear, O Imam Zaman, Salawat on you."
