line id,original language,translation
,Ziyarat of Hazrat Abu Talib (AS),
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,اَلسَّلاَمُ عَلَيْكَ يَا سَيِّدَ الْبَطْحَآءِ وَابْنَ رَئِيْسِهَا,"Peace be upon you, Oh the leader of Mecca, and the son of its chief​"
, اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ الْكَعْبَةِ بَعْدَ تَاْسِيْسِهَا,"Peace be with you, Oh inheritor of the Holy Ka’aba after it had been founded​"
, اَلسَّلاَمُ عَلَيْكَ يَا كَافِلَ رَسُوْلِ اللهِ,"Peace be with you, Oh fosterer of the messenger of God​"
,اَلسَّلاَمُ عَلَيْكَ يَا حَافِظَ دِيْنِ اللهِ,"Peace be with you, Oh protector of the religion of God​"
,اَلسَّلاَمُ عَلَيْكَ يَا عَمَّ الْمُصْطَفٰى,"Peace be with you, Oh uncle of Mustafa​"
, اَلسَّلاَمُ عَلَيْكَ يَا اَبَا الْمُرْتَضٰى,"Peace be with you, Oh father of the righteous Imam​"
, اَلسَّلاَمُ عَلَيْكَ يَا وَالِدَ الْاَئِمَّةِ الْهُدٰى,"Peace be on you , Oh the father of the guiding leaders"
,كَفَاكَ بِمَا اَوْلاَكَ اللهُ شَرَفًا وَّ نَسَبًا,Sufficient for you is the nobility and lineage which Allah has rendered you
,وَّ حَسْبُكَ بِمَا اَعْطَاكَ اللهُ عِزًّا وَّ حَسَبًا,and enough for you is the honour and esteem that He has granted you
, اَلسَّلاَمُ عَلَيْكَ يَا شَرَفَ الْوُجُوْدِ,"Peace be on you, Oh the one noble of existence"
, اَلسَّلاَمُ عَلَيْكَ يَا وَ لِىَّ الْمَعْبُوْدِ,"Peace be on you, Oh the friend of worshipped one"
,اَلسَّلاَمُ عَلَيْكَ يَا حَارِسَ النَّبِىِّ الْمَوْعُوْدِ,"Peace be on you, O the protector of the Promised Prophet"
, اَلسَّلاَمُ عَلَيْكَ يَا مَنْ رُزِقَ وَلَدٌ هُوَ خَيْرُ مَوْلُوْدٍ,"Peace be on you, O the one who was granted a son, who is the best of the new-born ones"
, اَلسَّلاَمُ عَلَيْكَ يَا مَنْ خُصِّصَ بِالْوَلَدِ الزَّكِىِّ الطَّاهِرِ,"Peace be on you, O the one who was designated for a chaste"
,الْمُطَهَّرِ الْعَلِىٍّ اشْتُقَّ اسْمُهُ مِنَ الْعَلِىِّ,"pure, purified and lofty son (Ali) whose name is derived from that of Allah’s (Ali)"
, هَنِيْئًا لَّكَ ثُمَّ هَنِيْئًا لَّكَ مِنْ وَّلَدٍ هُوَ الْمُرْتَضٰى مِنْ رَسُوْلٍ,"Congratulations be to you for your son who is the satisfied one of the Apostles,"
,وَّ اَخُ الرَّسُوْلِ وَ زَوْجُ الْبَتُوْلِ وَ سَيْفُ اللهِ الْمَسْلُوْلُ,"the brother of the messenger, the husband of Batool and the ever drawn sword of Allah."
,هَنِيْئًا لَّكَ ثُمَّ هَنِيْئًا لَّكَ مِنْ وَّلَدٍ هُوَ مِنْ مُّحَمَّدٍ الْمُصْطَفٰى,Again congratulations be to you for your son whose position with Mohammad al Mustafa
,بِمَنْزِلَةِ هَارُوْنَ مِنْ مُوْسٰى هَنِيْئًا لَّكَ مِنْ وَّلَدٍ هُوَ شَرِيْكُ النُّبُوَّةِ,"is like the one with Haroon had with Musa, Congratulations be to you for your son who is a partner in prophethood"
,وَ الْمَخْصُوْصُ بِا لْاُخُوَّةِ وَ كَاشِفُ الْغُمَّةِ وَ اِمَامُ الْاُمَّةِ وَ اَبُوْ الْاَئِمَّةِ,"The chosen one for brotherhood. The removal of sorrow, the leader of the nation and the father of the Imams."
, هَنِيْئًا لَّكَ مِنْ وَّ لَدٍ هُوَ قَسِيْمُ الْجَنَّةِ وَ النَّارِ,"Congratulations be to you, for your son who is the distributor of Paradise and Hell,"
,وَ نِعْمَةُ اللهِ عَلَى الْاَبْرَارِ وَ نَقِمَةُ اللهِ عَلَى الْفُجَّارِ,the Bounty of Allah upon the righteous and His Wrath upon the debauchers
,اَلسَّلاَمُ عَلَيْكَ وَ عَلَيْهِ وَ عَلَيْهِمْ اَجْمَعِيْنَ وَ رَحْمَةُ اللهِ وَ بَرَكَاتُهُ,Peace be on you and on him and on them all and the Mercy of Allah and His Blessings.
