line id,original language,translation
,"Ziyarat Imam Hasan
Al-Askari (AS)",
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the
All-compassionate"
,"اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ
وَ آلِ مُحَمَّد",O Allah bless Muhammad and the family of Muhammad.
,اَسَّلاَمُ عَلَيْكَ يَا اَبَامُحَمَّدِ نِ الْحَسَنِ الْعَسْكَرِىِّ,"Peace be upon you
O Abu Muhammad al-Hasan al-Askari"
,"اَسَّلاَمُ عَلَيْكَ اَيُّهَا 
الْبَرُّ الصَّادِقُ الْوَفِيُّ","Peace be upon you O one who is righteous, truthful and loyal"
,اَسَّلاَمُ عَلَيْكَ يَا وَلِيَّ اَمْرِ اللهِ,Peace be with you O guardian of the affair of God
,"اَسَّلاَمُ عَلَيْكَ 
يَا خَازِنَ عِلْمِ اللهِ ",Peace be with you O keeper of the knowledge of God
,"اَسَّلاَمُ عَلَيْكَ يَابْنَ 
حُجَجِ اللهِ عَلَي بَرِيَّتِهِ",Peace be with you O son of the proofs of God upon His creation
,"اَللَّهُمَّ صَلِّ عَلَيْهِ اَفْضَلَ 
مَا صلَّيْتَ",O God bless him with the best of Your blessings as You have blessed …
,"عَلَي اَحَدٍ مِنْ اَصْفِيَائِكَ
وَ حُجَجِكَ وَ اَوْلِيَائِكَ ","… anyone from Your chosen ones, Your proofs, Your saints ... "
,وَ ذُرِّيَّةِ رُسُلِكَ وَ اَنْبِيَائِكَ,... the progeny of Your Messengers and Your Prophets!
,اَمِيْنَ يَا رَبِّ الْعَلَمِيْنَ,"Ameen, O Lord of the worlds!"
