Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ يَا أَجْوَدَ مَنْ أَعْطىٰ,"O Allah, O Most Generous in giving"
,وَيَا خَيْرَ مَنْ سُئِلَ,And O Best of those who are asked
,وَيَا أَرْحَمَ مَنِ اسْتُرْحِمَ,And O Most Merciful of those from whom mercy is sought
,اَللّٰهُمَّ صَلِّ عَلٰى مُحَمَّدٍ وَ آلِهِ فِيْ الْأَوَّلِينَ,"O Allah, send blessings upon Muhammad and his family among the first ones"
,وَصَلِّ عَلٰى مُحَمَّدٍ وَ آلِهِ فِيْ الْآخِرِينَ,And send blessings upon Muhammad and his family among the last ones
,وَصَلِّ عَلٰى مُحَمَّدٍ وَ آلِهِ فِيْ الْمَلَاَ الْأَعْلٰى,And send blessings upon Muhammad and his family in the highest assembly
,وَصَلِّ عَلٰى مُحَمَّدٍ وَ آلِهِ فِيْ الْمُرْسَلِينَ,And send blessings upon Muhammad and his family among the messengers
,اَللّٰهُمَّ أَعْطِ مُحَمَّدًا وَ آلَهُ,"O Allah, grant Muhammad and his family"
,اَلْوَسِيْلَةَ وَالْفَضِيلَةَ,"The means, the excellence"
,وَالشَّرَفَ وَالرِّفْعَةَ,The honor and the elevation
,وَالدَّرَجَةَ الْكَبِيرَةَ,And the highest rank
,اَللّٰهُمَّ إِنِّي آمَنْتُ بِمُحَمَّدٍ,"O Allah, I have believed in Muhammad"
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ وَلَمْ أَرَهُ,"Peace be upon him and his family, though I have not seen him"
,فَلَا تَحْرِمْنِيْ فِيْ الْقِيَامَةِ رُؤْيَتَهُ,So do not deprive me of seeing him on the Day of Resurrection
,وَارْزُقْنِيْ صُحْبَتَهُ,And grant me his companionship
,وَتَوَفَّنِيْ عَلٰى مِلَّتِهِ,And let me die following his way
,وَاسْقِنِيْ مِنْ حَوْضِهِ,And quench my thirst from his fountain
,مَشْرَبًا رَوِيًّا,A satisfying drink
,سَائِغًا هَنِيئًا,Pleasant and wholesome
,لَاأَظْمَأُ بَعْدَهُ أَبَدًا,After which I will never thirst again
,إِنَّكَ عَلٰى كُلِّ شَيْءٍ قَدِيرٌ,"Indeed, You have power over all things"
,اَللّٰهُمَّ إِنِّي آمَنْتُ بِمُحَمَّدٍ,"O Allah, I have believed in Muhammad"
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ وَلَمْ أَرَهُ,"Peace be upon him and his family, though I have not seen him"
,فَعَرِّفْنِيْ فِيْ الْجِنَانِ وَجْهَهُ,So let me recognize his face in Paradise
,اَللّٰهُمَّ بَلِّغْ مُحَمَّدًا,"O Allah, convey from me to Muhammad"
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ,Peace be upon him and his family
,مِنِّي تَحِيَّةً كَثِيرَةً وَسَلامًا,Abundant greetings and peace
