Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,يَا رَبِّ إِنَّ ذُنُوْبِيْ لَا تَضُرُّكَ,"O Lord, my sins do not harm You"
,وَإِنَّ مَغْفِرَتَكَ لِيْ لَا تَنْقُصُكَ,And Your forgiveness to me does not diminish You
,فَأَعْطِنِيْ مَا لَا يَنْقُصُكَ,So grant me that which does not diminish You
,وَاغْفِرْ لِيْ مَا لَا يَضُرُّكَ,And forgive me that which does not harm You
,,
,اَللَّهُمَّ لَا تَحْرِمْنِيْ خَيْرَ مَا عِنْدَكَ لِشَرِّ مَا عِنْدِيْ,"O Allah, do not deprive me of the good that is with You because of the evil that is within me"
,فَإِنْ أَنْتَ لَمْ تَرْحَمْنِيْ بِتَعَبِيْ وَنَصَبِيْ,For if You do not have mercy on me despite my toil and exhaustion
,فَلَا تَحْرِمْنِيْ أَجْرَ الْمُصَابِ عَلَى مُصِيْبَتِهِ,Then do not deprive me of the reward of one afflicted for his calamity
