Line id,Arabic text,Translation
,سُبْحَانَ الَّذِيْ فِيْ السَّمَاءِ عَرْشُهُ,Glory be to the One whose throne is in the heaven
,سُبْحَانَ الَّذِيْ فِيْ الْأَرْضِ حُكْمُهُ,Glory be to the One whose authority is on the earth
,سُبْحَانَ الَّذِيْ فِيْ الْقُبُورِ قَضَاؤُهُ,Glory be to the One whose decree is in the graves
,سُبْحَانَ الَّذِيْ فِيْ الْبَحْرِ سَبِيلُهُ,Glory be to the One whose path is in the sea
,سُبْحَانَ الَّذِيْ فِيْ النَّارِ سُلْطَانُهُ,Glory be to the One whose dominion is in the fire
,سُبْحَانَ الَّذِيْ فِيْ الْجَنَّةِ رَحْمَتُهُ,Glory be to the One whose mercy is in paradise
,سُبْحَانَ الَّذِيْ فِيْ الْقِيَامَةِ عَدْلُهُ,Glory be to the One whose justice is on the Day of Resurrection
,سُبْحَانَ الَّذِيْ رَفَعَ السَّمَاءَ,Glory be to the One who raised the heaven
,سُبْحَانَ الَّذِيْ بَسَطَ الْأَرْضَ,Glory be to the One who spread out the earth
,سُبْحَانَ الَّذِيْ لَامَلْجَأَ وَلَا مَنْجٰا مِنْهُ إِلَّا إِلَيْهِ,Glory be to the One from whom there is no refuge or escape except towards Him
