Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللَّهُمَّ إِنِّيْ زُرْتُ هٰذَا الْإِمَامَ,"O Allah, I have visited this Imam"
,مُقِرًّا بِإِمَامَتِهِ,Acknowledging his Imamate
,مُعْتَقِدًا لِفَرْضِ طَاعَتِهِ,Believing in the obligation of his obedience
,فَقَصَدْتُ مَشْهَدَهُ بِذُنُوبِيْ وَعُيُوبِي,And I have come to his shrine with my sins and faults
,وَمُوبِقَاتِ آثَامِي,And the burden of my transgressions
,وَكَثْرَةِ سَيِّئَاتِيْ وَخَطَايَايَ,And the multitude of my misdeeds and errors
,وَمَا تَعْرِفُهُ مِنِّي,And what You know about me
,مُسْتَجِيرًا بِعَفْوِكَ,Seeking protection in Your pardon
,مُسْتَعِيذًا بِحِلْمِكَ,Taking refuge in Your forbearance
,رَاجِيًا رَحْمَتَكَ,Hoping for Your mercy
,لاَجِئًا إِلَى رُكْنِكَ,Taking shelter in Your support
,عَائِذًا بِرَأْفَتِكَ,Seeking refuge in Your compassion
,مُسْتَشْفِعًا بِوَلِيِّكَ وَابْنِ أَوْلِيَائِكَ,Seeking intercession through Your guardian and the son of Your guardians
,وَصَفِيِّكَ وَابْنِ أَصْفِيَائِكَ,And Your chosen one and the son of Your chosen ones
,وَأَمِينِكَ وَابْنِ أُمَنَائِكَ,And Your trustee and the son of Your trustees
,وَخَلِيفَتِكَ وَابْنِ خُلَفَائِكَ,And Your vicegerent and the son of Your vicegerents
,اَلَّذِيْنَ جَعَلْتَهُمُ الْوَسِيْلَةَ إِلَى رَحْمَتِكَ وَرِضْوَانِكَ,Those whom You have made the means to Your mercy and pleasure
,وَالذَّرِيْعَةَ إِلَى رَأْفَتِكَ وَغُفْرَانِكَ,And the pathway to Your compassion and forgiveness
,اَللَّهُمَّ وَأَوَّلُ حَاجَتِيْ إِلَيْكَ,"O Allah, my first need from You"
,أَنْ تَغْفِرَ لِيْ مَا سَلَفَ مِنْ ذُنُوبِيْ عَلَى كَثْرَتِهَا,Is that You forgive my past sins despite their abundance
,وَأَنْ تَعْصِمَنِيْ فِيمَا بَقِيَ مِنْ عُمْرِي,And that You protect me in what remains of my life
,وَتُطَهِّرَ دِينِيْ مِمَّا يُدَنِّسُهُ,And purify my religion from what defiles it
,وَيَشِينُهُ وَيُزْرِيْ بِهِ,And disgraces it and degrades it
,وَتَحْمِيَهُ مِنَ الرَّيْبِ وَالشَّكِّ,And safeguard it from doubt and uncertainty
,وَالْفَسَادِ وَالشِّرْكِ,And corruption and polytheism
,وَتُثَبِّتَنِيْ عَلَى طَاعَتِكَ,And make me steadfast in obedience to You
,وَطَاعَةِ رَسُولِكَ,And obedience to Your Messenger
,وَذُرِّيَّتِهِ النُّجَبَاءِ السُّعَدَاءِ,And his purified and blessed progeny
,صَلَوَاتُكَ عَلَيْهِمْ,Your blessings be upon them
,وَرَحْمَتُكَ وَسَلاَمُكَ وَبَرَكَاتُكَ,And Your mercy and peace and benedictions
,وَتُحْيِيَنِيْ مَا أَحْيَيْتَنِيْ عَلَى طَاعَتِهِمْ,And keep me alive as long as You keep me alive in obedience to them
,وَتُمِيتَنِيْ إِذَا أَمَتَّنِيْ عَلَى طَاعَتِهِمْ,And cause me to die when You cause me to die in obedience to them
,وَأَنْ لَا تَمْحُوَ مِنْ قَلْبِيْ مَوَدَّتَهُمْ وَمَحَبَّتَهُمْ,And do not remove from my heart their love and affection
,وَبُغْضَ أَعْدَائِهِمْ,And the hatred of their enemies
,وَمُرَافَقَةَ أَوْلِيَائِهِمْ وَبِرَّهُمْ,And companionship with their friends and doing good to them
,وَأَسْأَلُكَ يَا رَبِّ أَنْ تَقْبَلَ ذٰلِكَ مِنِّي,"And I ask You, O Lord, to accept this from me"
,وَتُحَبِّبَ إِلَيَّ عِبَادَتَكَ,And make Your worship beloved to me
,وَالْمُوَاظَبَةَ عَلَيْهَا,And perseverance in it
,وَتُنَشِّطَنِيْ لَهَا,And energize me for it
,وَتُبَغِّضَ إِلَيَّ مَعَاصِيَكَ وَمَحَارِمَكَ,And make Your disobedience and prohibited things hateful to me
,وَتَدْفَعَنِيْ عَنْهَا,And drive me away from them
,وَتُجَنِّبَنِيْ التَّقْصِيرَ فِيْ صَلَوَاتِي,And prevent me from being negligent in my prayers
,وَالْاِسْتِهَانَةَ بِهَا,And being careless about them
,وَالتَّرَاخِيَ عَنْهَا,And being lax in them
