Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ بِحَقِّ الْمَوْلُودِ فِيْ هٰذَا الْيَوْمِ,"O Allah, I ask You by the right of the one born on this day"
,اَلْمَوْعُودِ بِشَهَادَتِهِ قَبْلَ اسْتِهْلاَلِهِ وَوِلادَتِهِ,The one whose martyrdom was promised before his birth and arrival
,بَكَتْهُ السَّمَاءُ وَمَنْ فِيهَا,For whom the sky and whoever is in it wept
,وَالْأَرْضُ وَمَنْ عَلَيْهَا,And the earth and whoever is on it
,وَلَمَّا يَطَأْ لاَبَتَيْهَا,Though he had not yet set foot on its soil
,قَتِيلِ الْعَبْرَةِ,"The one slain, causing tears"
,وَسَيِّدِ الْأُسْرَةِ,The master of the family
,اَلْمَمْدُودِ بِالنُّصْرَةِ يَوْمَ الْكَرَّةِ,The one who will be supported with divine help on the day of return
,اَلْمُعَوَّضِ مِنْ قَتْلِهِ أَنَّ الْأَئِمَّةَ مِنْ نَسْلِهِ,The one compensated for his martyrdom by making Imams from his progeny
,وَالشِّفَاءَ فِيْ تُرْبَتِهِ,And healing in his soil
,وَالْفَوْزَ مَعَهُ فِيْ أَوْبَتِهِ,And salvation with him in his return
,وَالْأَوْصِيَاءَ مِنْ عِتْرَتِهِ,And the successors from his lineage
,بَعْدَ قَائِمِهِمْ وَغَيْبَتِهِ,After their Qa'im (the one who will rise) and his occultation
,حَتّىٰ يُدْرِكُوْا الْأَوْتَارَ,Until they avenge the wrongs
,وَيَثْأَرُوْا الثَّارَ,And seek retribution
,وَيُرْضُوْا الْجَبَّارَ,And please the Almighty
,وَيَكُونُوْا خَيْرَ أَنْصَارٍ,And become the best helpers
,صَلَّى اللَّهُ عَلَيْهِمْ مَعَ اخْتِلافِ اللَّيْلِ وَالنَّهَارِ,May Allah's blessings be upon them through the alternation of night and day
,اَللّٰهُمَّ فَبِحَقِّهِمْ إِلَيْكَ أَتَوَسَّلُ,"O Allah, by their right I seek intercession to You"
,وَأَسْأَلُ سُؤَالَ مُقْتَرِفٍ مُعْتَرِفٍ,And I ask as one who has committed sins yet acknowledges them
,مُسِىءٍ إِلٰى نَفْسِهِ,One who has wronged himself
,مِمَّا فَرَّطَ فِيْ يَوْمِهِ وَأَمْسِهِ,Through what he has neglected in his present and past
,يَسْأَلُكَ الْعِصْمَةَ إِلٰى مَحَلِّ رَمْسِهِ,He asks You for protection until his grave
,اَللّٰهُمَّ فَصَلِّ عَلَى مُحَمَّدٍ وَعِتْرَتِهِ,"O Allah, send blessings upon Muhammad and his family"
,وَاحْشُرْنَا فِيْ زُمْرَتِهِ,And gather us in his company
,وَبَوِّئْنَا مَعَهُ دَارَ الْكَرَامَةِ,And settle us with him in the abode of honor
,وَمَحَلَّ الْإِقَامَةِ,And the place of residence
,اَللّٰهُمَّ وَكَمَا أَكْرَمْتَنَا بِمَعْرِفَتِهِ فَأَكْرِمْنَا بِزُلْفَتِهِ,"O Allah, as You have honored us with his recognition, honor us with closeness to him"
,وَارْزُقْنَا مُرَافَقَتَهُ وَسَابِقَتَهُ,And grant us his companionship and to be among his forerunners
,وَاجْعَلْنَا مِمَّنْ يُسَلِّمُ لِأَمْرِهِ,And make us among those who submit to his command
,وَيُكْثِرُ الصَّلاةَ عَلَيْهِ عِنْدَ ذِكْرِهِ,And send abundant blessings upon him whenever he is mentioned
,وَعَلَى جَمِيْعِ أَوْصِيَائِهِ وَأَهْلِ أَصْفِيَائِهِ,And upon all his successors and his pure household
,اَلْمَمْدُودِيْنَ مِنْكَ بِالْعَدَدِ الَاثْنَى عَشَرَ,Those whom You have designated as the Twelve
,اَلنُّجُومِ الزُّهَرِ,The bright stars
,وَالْحُجَجِ عَلَى جَمِيْعِ الْبَشَرِ,And the proofs over all mankind
,اَللّٰهُمَّ وَهَبْ لَنَا فِيْ هٰذَا الْيَوْمِ خَيْرَ مَوْهِبَةٍ,"O Allah, grant us on this day the best of gifts"
,وَأَنْجِحْ لَنَا فِيهِ كُلَّ طَلِبَةٍ,And fulfill for us every request
,كَمَا وَهَبْتَ الْحُسَيْنَ لِمُحَمَّدٍ جَدِّهِ,As You granted Hussain to his grandfather Muhammad
,وَعَاذَ فُطْرُسُ بِمَهْدِهِ,And as Futrus sought refuge in his cradle
,فَنَحْنُ عَائِذُونَ بِقَبْرِهِ مِنْ بَعْدِهِ,So we seek refuge at his grave after him
,نَشْهَدُ تُرْبَتَهُ وَنَنْتَظِرُ أَوْبَتَهُ,We bear witness to his soil and await his return
,آمِيْنَ رَبَّ الْعَالَمِيْنَ,"Amen, O Lord of the worlds"
