Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send Your blessings upon Muhammad and the family of Muhammad"
,صَدَقَ اللَّهُ الْعَظِيمُ,The Almighty Allah has spoken the truth
,اَلَّذِيْ لَا إِلٰهَ إِلَّا هُوَ,The One besides whom there is no deity
,اَلْحَيُّ الْقَيُّومُ,"The Ever-Living, the Self-Subsisting"
,ذُوْالْجَلالِ وَالْإِكْرَامِ,Possessor of Majesty and Honor
,اَلرَّحْمٰنُ الرَّحِيمُ,"The Most Compassionate, the Most Merciful"
,اَلْحَلِيمُ الْكَرِيمُ,"The Forbearing, the Generous"
,اَلَّذِيْ لَيْسَ كَمِثْلِهِ شَيْءٌ,The One to whom nothing is similar
,وَهُوَ السَّمِيعُ الْعَلِيمُ,"And He is the All-Hearing, the All-Knowing"
,اَلْبَصِيرُ الْخَبِيرُ,"The All-Seeing, the All-Aware"
,شَهِدَ اللَّهُ أَنَّهُ لَا إِلٰهَ إِلَّا هُوَ,Allah bears witness that there is no deity except Him
,وَالْمَلائِكَةُ وَأُولُوْ الْعِلْمِ,And the angels and those with knowledge also witness
,قَائِمًا بِالْقِسْطِ,Maintaining justice
,لَا إِلٰهَ إِلَّا هُوَ الْعَزِيزُ الْحَكِيمُ,"There is no deity except Him, the Mighty, the Wise"
,وَبَلَّغَتْ رُسُلُهُ الْكِرَامُ,And His noble messengers conveyed [His message]
,وَأَنَا عَلَى ذٰلِكَ مِنَ الشَّاهِدِيْنَ,And I am among those who bear witness to that
,اَللّٰهُمَّ لَكَ الْحَمْدُ,"O Allah, to You belongs all praise"
,وَلَكَ الْمَجْدُ,And to You belongs all glory
,وَلَكَ الْعِزُّ,And to You belongs all might
,وَلَكَ الْفَخْرُ,And to You belongs all pride
,وَلَكَ الْقَهْرُ,And to You belongs all power
,وَلَكَ النِّعْمَةُ,And to You belongs all blessing
,وَلَكَ الْعَظَمَةُ,And to You belongs all greatness
,وَلَكَ الرَّحْمَةُ,And to You belongs all mercy
,وَلَكَ الْمَهَابَةُ,And to You belongs all reverence
,وَلَكَ السُّلْطَانُ,And to You belongs all authority
,وَلَكَ الْبَهَاءُ,And to You belongs all splendor
,وَلَكَ الْإِمْتِنَانُ,And to You belongs all favor
,وَلَكَ التَّسْبِيحُ,And to You belongs all glorification
,وَلَكَ التَّقْدِيسُ,And to You belongs all sanctification
,وَلَكَ التَّهْلِيلُ,And to You belongs all proclamation of Your Oneness
,وَلَكَ التَّكْبِيرُ,And to You belongs all magnification
,وَلَكَ مَا يُرىٰ,And to You belongs all that is seen
,وَلَكَ مَا لَا يُرىٰ,And to You belongs all that is unseen
,وَلَكَ مَا فَوْقَ السَّمَاوَاتِ الْعُلىٰ,And to You belongs all that is above the highest heavens
,وَلَكَ مَا تَحْتَ الثَّرىٰ,And to You belongs all that is beneath the earth
,وَلَكَ الْأَرَضُونَ السُّفْلىٰ,And to You belongs the lowest regions
,وَلَكَ الْآخِرَةُ وَالْأُولىٰ,And to You belongs the Hereafter and the first [life]
,وَلَكَ مَا تَرْضىٰ بِهِ مِنَ الثَّنَاءِ وَالْحَمْدِ,And to You belongs whatever praise and thanks that pleases You
,وَالشُّكْرِ وَالنَّعْمَاءِ,And gratitude and blessings
,اَللّٰهُمَّ صَلِّ عَلَى جَبْرَئِيلَ,"O Allah, send Your blessings upon Gabriel"
,أَمِينِكَ عَلَى وَحْيِكَ,Your trustee over Your revelation
,وَالْقَوِيِّ عَلَى أَمْرِكَ,The strong one in executing Your command
,وَالْمُطَاعِ فِيْ سَمَاوَاتِكَ وَمَحَالِّ كَرَامَاتِكَ,The one obeyed in Your heavens and places of Your honor
,اَلْمُتَحَمِّلِ لِكَلِمَاتِكَ,The bearer of Your words
,اَلنَّاصِرِ لِأَنْبِيَائِكَ,The supporter of Your prophets
,اَلْمُدَمِّرِ لِأَعْدَائِكَ,The destroyer of Your enemies
,اَللّٰهُمَّ صَلِّ عَلَى مِيكَائِيلَ,"O Allah, send Your blessings upon Michael"
,مَلَكِ رَحْمَتِكَ,The angel of Your mercy
,وَالْمَخْلُوقِ لِرَأْفَتِكَ,The one created for Your kindness
,وَالْمُسْتَغْفِرِ الْمُعِينِ لِأَهْلِ طَاعَتِكَ,The one who seeks forgiveness and assists those who obey You
,اَللّٰهُمَّ صَلِّ عَلَى إِسْرَافِيلَ,"O Allah, send Your blessings upon Israfil"
,حَامِلِ عَرْشِكَ,The bearer of Your throne
,وَصَاحِبِ الصُّوْرِ,The master of the trumpet
,اَلْمُنْتَظِرِ لِأَمْرِكَ,The one awaiting Your command
,اَلْوَجِلِ الْمُشْفِقِ مِنْ خِيفَتِكَ,The fearful and anxious one due to awe of You
