Line id,Arabic text,Translation
,اَللَّهُمَّ ارْزُقْنَا تَوْفِيقَ الطَّاعَةِ,"O Allah, grant us the success to be obedient"
,وَ بُعْدَ الْمَعْصِيَةِ,And to stay away from disobedience
,وَ صِدْقَ النِّيَّةِ,And sincerity of intention
,وَ عِرْفَانَ الْحُرْمَةِ,And recognition of the sacred
,وَ اَكْرِمْنَا بِالهُدَى وَ الَاسْتِقَامَةِ,And honor us with guidance and steadfastness
,وَ سَدِّدْ اَلْسِنَتَنَا بِالصَّوَابِ وَ الْحِكْمَةِ,And direct our tongues to speak truth and wisdom
,وَ امْلَأْ قُلُوبَنَا بِالْعِلْمِ وَ الْمَعْرِفَةِ,And fill our hearts with knowledge and understanding
,وَ طَهِّرْ بُطُونَنَا مِنَ الْحَرَامِ وَ الشُّبْهَةِ,And purify our stomachs from the forbidden and the doubtful
,وَ اكْفُفْ اَيْدِيَنَا عَنِ الظُّلْمِ وَ السِّرْقَةِ,And restrain our hands from oppression and theft
,وَ اغْضُضْ اَبْصَارَنَا عَنِ الْفُجُورِ وَ الْخِيَانَةِ,And lower our gazes from immorality and betrayal
,وَ اسْدُدْ اَسْمَاعَنَا عَنِ اللَّغْوِ وَ الْغِيبَةِ,And block our ears from vain talk and backbiting
,وَ تَفَضَّلْ عَلَى عُلَمَائِنَا بِالزُّهْدِ وَ النَّصِيحَةِ,And favor our scholars with asceticism and sincerity
,وَ عَلَى الْمُتَعَلِّمِيْنَ بِالْجُهْدِ وَ الرَّغْبَةِ,And the students with diligence and desire for knowledge
,وَ عَلَى الْمُسْتَمِعِينَ بِالْإِتِّبَاعِ وَ الْمَوْعِظَةِ,And the listeners with following guidance and heeding advice
,وَ عَلَى مَرْضَى الْمُسْلِمِيْنَ بِالشِّفَاءِ وَ الرَّاحَةِ,And the sick Muslims with healing and comfort
,وَ عَلَى مَوْتَاهُمْ بِالرَّأْفَةِ وَ الرَّحْمَةِ,And their deceased with kindness and mercy
,وَ عَلَى مَشَايِخِنَا بِالْوَقَارِ وَ السَّكِينَةِ,And our elders with dignity and tranquility
,وَ عَلَى الشَّبَابِ بِالْاِنَابَةِ وَ التَّوْبَةِ,And the youth with returning to You and repentance
,وَ عَلَى النِّسَاءِ بِالْحَيَاءِ وَ الْعِفَّةِ,And the women with modesty and chastity
,وَ عَلَى الْاَغْنِيَاءِ بِالتَّوَاضُعِ وَ السَّعَةِ,And the wealthy with humility and generosity
,وَ عَلَى الْفُقَرَاءِ بِالصَّبْرِ وَ الْقَنَاعَةِ,And the poor with patience and contentment
,وَ عَلَى الْغُزَاةِ بِالنَّصْرِ وَ الْغَلَبَةِ,And the warriors with victory and triumph
,وَ عَلَى الْاُسَرَاءِ بِالْخَلاصِ وَ الرَّاحَةِ,And the prisoners with freedom and relief
,وَ عَلَى الْاُمَرَاءِ بِالْعَدْلِ وَ الشَّفَقَةِ,And the leaders with justice and compassion
,وَ عَلَى الرَّعِيَّةِ بِالْاِنْصَافِ وَ حُسْنِ السِّيرَةِ,And the citizens with fairness and good conduct
,وَ بَارِكْ لِلْحُجَّاجِ وَ الزُّوَّارِ فِيْ الزَّادِ وَ النَّفَقَةِ,And bless the pilgrims and visitors with provisions and sustenance
,وَ اقْضِ مَا اَوْجَبْتَ عَلَيْهِمْ مِنَ الْحَجِّ وَ الْعُمْرَةِ,And help them fulfill what You have made obligatory upon them of Hajj and Umrah
,بِفَضْلِكَ وَ رَحْمَتِكَ يَا اَرْحَمَ الرَّاحِمِيْنَ,"By Your grace and mercy, O Most Merciful of the merciful"
