Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اِلٰهِيْ بِحَقِّ مَنْ نَاجَاكَ,"My God, by the right of those who whispered to You"
,وَ بِحَقِّ مَنْ دَعَاكَ فِيْ الْبَرِّ وَ الْبَحْرِ,And by the right of those who called upon You on land and sea
,صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,Send blessings upon Muhammad and the family of Muhammad
,وَ تَفَضَّلْ عَلَى فُقَرَاءِ الْمُؤْمِنِيْنَ وَ الْمُؤْمِنَاتِ بِالْغَنَاءِ وَ الثَّرْوَةِ,And bestow upon the poor believing men and women with richness and wealth
,وَ عَلَى مَرْضَى الْمُؤْمِنِيْنَ وَ الْمُؤْمِنَاتِ بِالشِّفَاءِ وَ الصِّحَّةِ,And upon the sick believing men and women with healing and health
,وَ عَلَى اَحْيَاءِ الْمُؤْمِنِيْنَ وَ الْمُؤْمِنَاتِ بِاللُّطْفِ وَ الْكَرَمِ,And upon the living believing men and women with kindness and generosity
,وَ عَلَى اَمْوَاتِ الْمُؤْمِنِيْنَ وَ الْمُؤْمِنَاتِ بِالْمَغْفِرَةِ وَ الرَّحْمَةِ,And upon the deceased believing men and women with forgiveness and mercy
,وَ عَلَى غُرَبَاءِ الْمُؤْمِنِيْنَ وَ الْمُؤْمِنَاتِ بِالرَّدِّ اِلَى اَوْطَانِهِمْ سَالِمِيْنَ غَانِمِيْنَ,And upon the traveling believing men and women with safe return to their homelands with success and gains
,بِمُحَمَّدٍ وَّ اٰلِهِ اَجْمَعِيْنَ,By Muhammad and his entire family
