Line id,Arabic text,Translation
,اَلْحَمْدُ لِلَّهِ الَّذِيْ جَعَلَ كَمَالَ دِينِهِ,Praise be to Allah who made the perfection of His religion
,وَتَمَامَ نِعْمَتِهِ,and the completion of His favor
,بِوِلَايَةِ أَمِيرِ الْمُؤمِنِيْنَ,through the guardianship of the Commander of the Faithful
,عَلِيِّ بْنِ أَبِيْ طَالِبٍ عَلَيْهِ السَّلاَمُ,"Ali ibn Abi Talib, peace be upon him"
