Line id,Arabic text,Translation
,,
,وَوَاعَدْنَا مُوْسَى ثَلَاثِيْنَ لَيْلَةً,And We appointed for Moses thirty nights
,وَأَتْمَمْنَاهَا بِعَشْرٍ,And We completed them with ten
,فَتَمَّ مِيْقَاتُ رَبِّهِ أَرْبَعِيْنَ لَيْلَةً,So the time appointed by his Lord was completed as forty nights
,وَقَالَ مُوْسَى لِأَخِيْهِ هَارُوْنَ اخْلُفْنِيْ فِيْ قَوْمِيْ,"And Moses said to his brother Aaron: ""Take my place among my people"
,وَأَصْلِحْ وَلَا تَتَّبِعْ سَبِيْلَ الْمُفْسِدِيْنَ,"And act rightly, and do not follow the way of the mischief-makers"""
