line id verse number,arabic text,english translation text
,LASHA QASIM KA NAZAR AYA,WHEN IMAM HUSSAIN (A.S.) SAW THE BODY OF QASIM
,LASHA QASIM KA NAZAR AYA HASAN YAAD AYE,IMAM HUSSAIN (A.S) REMEMBERED HIS BROTHER IMAM HASAN (A.S) WHEN HE SAW THE BODY OF QASIM
,USS GHARI ROYE BOHOT SHEH KO HASSAN YAAD AYE,IMAM HUSSAIN (A.S.) CRIED A LOT AS HE REMEMBERED IMAM HASAN (A.S.)
,HAYE QASIM NA TERE TUKDE BADAN KE HOTE\nRO KE SEENE SE LAGAYA TO HASSAN YAAD AYE,"I WISH YOUR BODY HAD NOT BEEN CUT IN THIS WAY,\nWHEN IMAM HUSAIN (A.S.) PUT QASIM ON HIS CHEST HE REMEMBERED IMAM HASAN (A.S.)"
,TUKDE QASIM KE CHUNE AUR ABA ME DAALE\nBAAND KAR LASHA UTHAYA TO HASSAN YAAD AYE,"IMAM HUSSAIN (A.S.) PICKED THE PIECES OF QASIM’S BODY AND PLACED IT IN CLOTH,\nHE TIED THE CLOTH AND REMEMBERED HASSAN"
,FAYZ SHABBIR JO QASIM KA JANAZA LAYE\nZAKHMI TEERO KE JANAZE ME HASSAN YAAD AYE,"HE REMEMBERED IMAM HASAN’S (A.S.) WOUNDED BODY COVERED IN ARROWS\nWHEN IMAM HUSSAIN (A.S.) BROUGHT THE BODY OF QASIM,"
