Line id,Arabic text,Translation
,لَا إِلٰهَ إِلَّا اللَّهُ  وَلَا نَعْبُدُ إِلَّا إِيَّاهُ,"There is no god but Allah, and we worship none but Him"
,مُخْلِصِينَ لَهُ الدِّينَ,Being sincere to Him in religion
,وَلَوْ كَرِهَ الْمُشْرِكُون,Even though the polytheists dislike it
