Line id,Arabic text,Translation
,عَفَّرْتُ وَجْهِيْ فِيْ التُّرَابِ,I have pressed my face in the dust
,وَحُقَّ لِيْ أَنْ أَسْجُدَ لَكَ,And it is my duty to prostrate to You
