Line id,Arabic text,Translation
,سُبْحَانَ اللَّهِ,Glory be to Allah
,وَالْحَمْدُ لِلَّهِ,And all praise is for Allah
,وَلَا إِلٰهَ إِلَّا اللَّهُ,And there is no god except Allah
,وَاللَّهُ أَكْبَرُ,And Allah is the Greatest
,وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللَّهِ الْعَلِيِّ الْعَظِيمِ,"And there is no power and no strength except with Allah, the Most High, the Most Great"
