Line id,Arabic text,Translation
,اَسْتَغْفِرُ اللَّهَ الَّذِيْ لَا إِلٰهَ إِلَّا هُوَ,"I seek forgiveness from Allah, there is no God but Him"
,وَأَسْأَلُهُ التَّوْبَة,And I ask Him for repentance
