Line id,Arabic text,Translation
,سُبْحَانَ الْاِلٰهِ الْجَلِيلِ,Glory be to the Majestic God
,سُبْحَانَ مَنْ لَا يَنْبَغِيْ التَّسْبِيحُ إِلَّا لَهُ,Glory be to the One whom glorification is only befitting for Him
,سُبْحَانَ الْاَعَزِّ الْاَكْرَمِ,"Glory be to the Most Honorable, the Most Generous"
,سُبْحَانَ مَنْ لَبِسَ الْعِزَّ وَهُوَ لَهُ اَهْلٌ,"Glory be to the One who is clothed in might, and He is worthy of it"
