Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the Name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, bless Muhammad and the family of Muhammad"
,اَللَّهُمَّ دَاحِيَ الْكَعْبَةِ,"O Allah, the Spreader of the Ka'bah"
,وَفَالِقَ الْحَبَّةِ,The Splitter of the seed
,وَصَارِفَ اللَّزْبَةِ,The Averter of hardships
,وَكَاشِفَ كُلِّ كُرْبَةٍ,The Remover of every affliction
,أَسْأَلُكَ فِيْ هٰذَا الْيَوْمِ مِنْ أَيَّامِكَ,I ask You on this day of Your days
,اَلَّتِيْ أَعْظَمْتَ حَقَّهَا,Which You have magnified its right
,وَأَقْدَمْتَ سَبْقَهَا,And advanced its precedence
,وَجَعَلْتَهَا عِنْدَ الْمُؤْمِنِيْنَ وَدِيعَةً,And made it a trust among the believers
,وَإِلَيْكَ ذَرِيْعَةً,And a means to You
,وَبِرَحْمَتِكَ الْوَسِيعَةِ,And by Your expansive mercy
,أَنْ تُصَلِّيَ عَلَى مُحَمَّدٍ,To bless Muhammad
,عَبْدِكَ الْمُنْتَجَبِ فِيْ الْمِيثَاقِ الْقَرِيبِ,"Your chosen servant in the covenant, the one who is near"
,يَوْمَ التَّلَاقِ,On the Day of Meeting
,فَاتِقِ كُلِّ رَتْقٍ,The opener of all that is closed
,وَدَاعٍ إِلَى كُلِّ حَقٍّ,And the caller to every truth
,وَعَلَى أَهْلِ بَيْتِهِ الْأَطْهَارِ,And upon his purified household
,اَلْهُدَاةِ الْمَنَارِ,"The guides, the beacons"
,دَعَائِمِ الْجَبَّارِ,The pillars of the Almighty
,وَوُلَاةِ الْجَنَّةِ وَالنَّارِ,And the masters of Paradise and Hell
,وَأَعْطِنَا فِيْ يَوْمِنَا هٰذَا مِنْ عَطَائِكَ الْمَخْزُونِ,And grant us on this day from Your treasured gifts
,غَيْرَ مَقْطُوعٍ وَلَا مَمْنُوعٍ,Which are neither cut off nor withheld
,تَجْمَعُ لَنَا بِهِ التَّوْبَةَ وَحُسْنَ الْأَوْبَةِ,Through which You gather for us repentance and good return
,يَا خَيْرَ مَدْعُوٍّ,O Best of those who are called upon
,وَأَكْرَمَ مَرْجُوٍّ,And Most Generous of those hoped in
