Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللَّهُمَّ إِنِّيْ اَفْتَتِحُ الْقَوْلَ بِحَمْدِكَ,"O Allah, I begin my speech by praising You"
,وَاَنْطِقُ بِالثَّنَاءِ عَلَيْكَ,And I speak with adoration for You
,وَ اُمَجِّدُكَ وَلَا غَايَةَ لِمَدْحِكَ,"And I glorify You, though there is no limit to Your praise"
,وَ اُثْنِيْ عَلَيْكَ وَمَنْ يَبْلُغُ غَايَةَ ثَنَائِكَ وَاَمَدَ مَجْدِكَ,"And I extol You, but who can reach the extent of Your praise and the limit of Your glory?"
,وَاَنَّى لِخَلِيْقَتِكَ كُنْهُ مَعْرِفَةِ مَجْدِكَ,How can Your creation fully comprehend the essence of Your glory?
,وَاَيَّ زَمَنٍ لَمْ تَكُنْ مَمْدُوْحًا بِفَضْلِكَ,"And in what time were You not praised for Your grace,"
,مَوْصُوْفًا بِمَجْدِكَ,"Described by Your glory,"
,عَوَّادًا عَلَى الْمُذْنِبِيْنَ بِحِلْمِكَ,Repeatedly forgiving the sinners with Your clemency?
,تَخَلَّفَ سُكَّانُ اَرْضِكَ عَنْ طَاعَتِكَ,"The dwellers of Your earth have abandoned Your obedience,"
,فَكُنْتَ عَلَيْهِمْ عَطُوْفًا بِجُوْدِكَ,"Yet You have been compassionate to them through Your generosity,"
,جَوَادًا بِفَضْلِكَ,"Generous with Your grace,"
,عَوَّادًا بِكَرَمِكَ,Repeatedly giving through Your nobility.
,يَا لَا إِلٰهَ إِلَّا اَنْتَ الْمَنَّانُ,"O there is no god but You, the Benefactor,"
,ذُوْ الْجَلاَلِ وَالْاِكْرَامِ,Possessor of Majesty and Honor.
