Line id,Arabic text,Translation
,سُبْحَانَ مَنْ لَبِسَ الْعِزَّ وَالْوَقَارَ,Glory be to Him who wears honor and dignity
,سُبْحَانَ مَنْ تَعَطَّفَ بِالْمَجْدِ وَتَكَرَّمَ بِهِ,Glory be to Him who is adorned with magnificence and is generous with it
,سُبْحَانَ مَنْ لَا يَنْبَغِيْ التَّسْبِيْحُ إِلَّا لَهُ,Glory be to Him whom none deserves glorification except Him
,سُبْحَانَ مَنْ اَحْصَى كُلَّ شَيْءٍ عِلْمُهُ,Glory be to Him whose knowledge encompasses all things
,سُبْحَانَ ذِيْ الْمَنِّ وَالنِّعَمِ,Glory be to the Possessor of favor and blessings
,سُبْحَانَ ذِيْ الْقُدْرَةِ وَالْكَرَمِ,Glory be to the Possessor of power and generosity
,اَللَّهُمَّ إِنِّيْ اَسْئَلُكَ بِمَعَاقِدِ الْعِزِّ مِنْ عَرْشِكَ,"O Allah, I ask You by the positions of honor of Your throne"
,وَمُنْتَهَى الرَّحْمَةِ مِنْ كِتَابِكَ,And the ultimate mercy in Your Book
,وَ اِسْمِكَ الْاَعْظَمِ,And Your Greatest Name
,وَكَلِمَاتِكَ التَّامَّةِ,And Your perfect words
,اَلَّتِيْ تَمَّتْ صِدْقًا وَعَدْلًا,Which are complete in truth and justice
,صَلِّ عَلَى مُحَمَّدٍ وَاَهْلِ بَيْتِهِ,Send blessings upon Muhammad and his household
,,
