line id verse number,arabic text,english translation text
,,Tasbih 4
,بِسْمِ اللهِ الرَّحْمنِ الرَّحِيمِ,"In the name of Allah the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,وَاللهُ اَكْبَرُ قَبْلَ كُلِّ اَحَد,"Allah is the Greatest
Before everyone (glorifies Him)."
,وَاللهُ اَكْبَرُ بَعْدَ كُلِّ اَحَد,"Allah is the Greatest
After everyone (glorifies Him)."
,وَاللهُ اَكْبَرُ مَعَ كُلِّ اَحَد,"Allah is the Greatest
When everyone (glorifies Him)"
,وَاللهُ اَكْبَرُ يَبْقى رَبُّنا ويَفْنى كُلُّ وأحَد,"Allah is the Greatest
Everlasting Forever is our Lord and everyone passes away."
,وَاللهُ اَكْبَرُ تَكبيراً يَفْضُلُ تكبير الْمكبرينَ فَضْلاً كَثيراً قَبْلَ كُلِّ اَحَد,"Allah is the Greatest
The glorification of the glorifiers exalts His glory. Immeasurably exalted is His glory, before everyone (exalts Him)."
,وَاللهُ اَكْبَرُ تَكبيراً يَفْضُلُ تكبير الْمكبرينَ فَضْلاً كَثيراً بَعْدَ كُلِّ اَحَد,"Allah is the Greatest
The glorification of the glorifiers exalts His glory, immeasurably exalted is His glory, after everyone (exalts Him)."
,وَاللهُ اَكْبَرُ تَكبيراً يَفْضُلُ تكبير الْمكبرينَ فَضْلاً كَثيراً مَعَ كُلِّ اَحَد,"Allah is the Greatest
The glorification of the glorifiers exalts His glory, immeasurably exalted is His glory, when everyone (exalts Him)."
,وَاللهُ اَكْبَرُ تَكبيراً يَفْضُلُ تكبير الْمكبرينَ فَضْلاً كَثيراً لِرَبِّنَا الْباقى وَيَفْنى كُلِّ اَحَد,"Allah is the Greatest
The glorification of the glorifiers exalts His glory; immeasurably exalted is the glory of our Everlasting Lord, Nourisher, and everyone passes away."
,وَاللهُ اَكْبَرُ تَكبيراً لا يُحْصى وَلا يُدْرى وَلا يُنْسى وَلا يَبْلى وَلا يَفْنى وَلَيْسَ لَهُ مُنْتَهى,"Allah is the Greatest
Glory which is, Immeasurable, Unperceivable, Unforgettable, Imperishable, Indestructible, and there is no end to it"
,وَاللهُ اَكْبَرُ تَكبيراً يَدوُمُ بِدَوامِهِ وَيَبْقى بِبَقآئِهِ فى سِنِى الْعالَمينَ وَشُهوُرِ الدُّهوُرِ وَاَيّامِ الدُّنْيا وَساعاتِ اللَّيْلِ وَالنَّهارِ,"Allah is the GreatestEverlasting duration of His glory makes His glorification eternal, continuous existence of His glory keeps His glorification alive for ever, throughout the cosmic ages, months all through the centuries, days passing by in tHis world, and every moment of the nights and days."
,وَاللهُ اَكْبَرُ اَبَدَ الاَْبَدِ وَمَعَ الاَْبَدِ مِمّا لا يُحْصيهِ الْعَدَدُ وَلا يُفْنيهِ الاَْمَدُ وَلا يَقْطَعُهُ الاَْبَدُ,"Allah is the Greatest
Never-ending glorification along with ever eternal glory, which neither can be counted in addition, nor can be terminated into an end, nor can ever be discontinued"
,وَتَبارَكَ اللهُ اَحْسَنُ الْخالِقينَ,"be praised and hallowed in Allah, the Best Creator"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
