line id verse number,arabic text,english translation text
,صَلَّىٰ ٱللَّهُ عَلَيْهِ وَآلِهِ,"peace be upon him and his Household,"
,وَمَنْ قَطَعَكِ فَقَدْ قَطَعَ رَسُولَ ٱللَّهِ,"and he who disrespects you will have disrespected the messenger of Allah,"
,صَلَّىٰ ٱللَّهُ عَلَيْهِ وَآلِهِ,peace be upon him and his Household.
,لاِنَّكِ بِضْعَةٌ مِنْهُ,"This is because you are an inseparable part of him (i.e. the Holy Prophet),"
,وَرُوحُهُ ٱلَّذِي بَيْنَ جَنْبَيْهِ,and you are his soul with which he lives.
,اشْهِدُ ٱللَّهَ وَرُسُلَهُ وَمَلاَئِكَتَهُ,"I ask Allah, His Messengers, and His angels to be the witnesses"
,انِّي رَاضٍ عَمَّنْ رَضِيتِ عَنْهُ,"that I am verily pleased with him whomever you accept,"
,سَاخِطٌ عَلَىٰ مَنْ سَخِطْتِ عَلَيْهِ,"I am displeased with him whomever you detest,"
,مُتَبَرِّىٰءٌ مِمَّنْ تَبَرَّاتِ مِنْهُ,"I disavow him whomever you disavow,"
,مُوَالٍ لِمَنْ وَالَيْتِ,"I am loyal to him whomever you support,"
,مُعَادٍ لِمَنْ عَادِيْتِ,"I am the enemy of him whomever you betake as enemy,"
,مُبْغِضٌ لِمَنْ ابْغَضْتِ,"I am hateful to him whomever you hate,"
,مُحِبٌّ لِمَنْ احْبَبْتِ,and I like him whomever you like.
,وَكَفَىٰ بِٱللَّهِ شَهِيداً وَحَسِيباً,"Verily, Allah is Sufficient as Witness, Reckoner,"
,وَجَازِياً وَمُثِيباً,"Punisher, and Rewarder."
